Date,Open,High,Low,Close,Adj Close,Volume
2020-05-26,4.49883,4.501,4.42575,4.5002,4.5002,0.0
2020-05-27,4.43623,4.44345,4.40625,4.4393,4.4393,0.0
2020-05-28,4.42651,4.44982,4.41369,4.42751,4.42751,0.0
2020-05-29,4.45346,4.45985,4.43864,4.4554,4.4554,0.0
2020-06-01,4.43284,4.44243,4.3974,4.43275,4.43275,0.0
2020-06-02,4.40123,4.4174,4.3773,4.40162,4.40162,0.0
2020-06-03,4.38172,4.4153,4.37038,4.38246,4.38246,0.0
2020-06-04,4.40659,4.4533,4.4039,4.40609,4.40609,0.0
2020-06-05,4.429,4.45811,4.42128,4.43342,4.43342,0.0
2020-06-08,4.42991,4.45143,4.423,4.4318,4.4318,0.0
2020-06-09,4.42153,4.45118,4.4178,4.42226,4.42226,0.0
2020-06-10,4.44115,4.46692,4.43771,4.4385,4.4385,0.0
2020-06-11,4.45484,4.47829,4.4474,4.45408,4.45408,0.0
2020-06-12,4.47236,4.47527,4.4367,4.47162,4.47162,0.0
2020-06-15,4.44201,4.46075,4.4256,4.44351,4.44351,0.0
2020-06-16,4.4144,4.45022,4.4054,4.41353,4.41353,0.0
2020-06-17,4.44377,4.47368,4.43862,4.4437,4.4437,0.0
2020-06-18,4.46132,4.466,4.4449,4.46225,4.46225,0.0
2020-06-19,4.44775,4.4672,4.4392,4.4478,4.4478,0.0
2020-06-22,4.4646,4.46678,4.4371,4.46657,4.46657,0.0
2020-06-23,4.436,4.45189,4.427,4.4367,4.4367,0.0
2020-06-24,4.44426,4.45734,4.4389,4.44398,4.44398,0.0
2020-06-25,4.4534,4.47136,4.443,4.4558,4.4558,0.0
2020-06-26,4.45273,4.47289,4.4476,4.45018,4.45018,0.0
2020-06-29,4.46662,4.4694,4.455,4.4644,4.4644,0.0
2020-06-30,4.45308,4.4699,4.4347,4.45328,4.45328,0.0
2020-07-01,4.4419,4.47857,4.4315,4.44479,4.44479,0.0
2020-07-02,4.47432,4.476,4.4566,4.4746,4.4746,0.0
2020-07-03,4.4588,4.47032,4.4527,4.46225,4.46225,0.0
2020-07-06,4.46069,4.47249,4.4547,4.46137,4.46137,0.0
2020-07-07,4.46129,4.47517,4.4583,4.46329,4.46329,0.0
2020-07-08,4.47266,4.48469,4.4655,4.47335,4.47335,0.0
2020-07-09,4.47298,4.47669,4.4576,4.47352,4.47352,0.0
2020-07-10,4.46683,4.47872,4.4594,4.4634,4.4634,0.0
2020-07-13,4.4638,4.4863,4.4566,4.4661,4.4661,0.0
2020-07-14,4.48917,4.49373,4.4671,4.48941,4.48941,0.0
2020-07-15,4.47373,4.47675,4.463,4.47192,4.47192,0.0
2020-07-16,4.47792,4.49303,4.4711,4.4756,4.4756,0.0
2020-07-17,4.4824,4.48367,4.4713,4.4776,4.4776,0.0
2020-07-20,4.47532,4.48165,4.4499,4.47513,4.47513,0.0
2020-07-21,4.4513,4.4589,4.4235,4.45459,4.45459,0.0
2020-07-22,4.43036,4.44291,4.4122,4.43153,4.43153,0.0
2020-07-23,4.42035,4.42041,4.3972,4.42032,4.42032,0.0
2020-07-24,4.40721,4.41627,4.3974,4.4041,4.4041,0.0
2020-07-27,4.40237,4.40778,4.3872,4.40345,4.40345,0.0
2020-07-28,4.38997,4.41324,4.3854,4.39016,4.39016,0.0
2020-07-29,4.4124,4.42557,4.40616,4.41068,4.41068,0.0
2020-07-30,4.40288,4.4189,4.3973,4.40256,4.40256,0.0
2020-07-31,4.40955,4.41363,4.3961,4.4046,4.4046,0.0
2020-08-03,4.4193,4.42357,4.4035,4.42168,4.42168,0.0
2020-08-04,4.4077,4.41406,4.3907,4.408,4.408,0.0
2020-08-05,4.39555,4.40303,4.3859,4.39601,4.39601,0.0
2020-08-06,4.39537,4.41189,4.3915,4.39869,4.39869,0.0
2020-08-07,4.41502,4.42379,4.3996,4.4131,4.4131,0.0
2020-08-10,4.41321,4.41418,4.3938,4.4095,4.4095,0.0
2020-08-11,4.39735,4.40507,4.3895,4.39777,4.39777,0.0
2020-08-12,4.40478,4.41232,4.3936,4.40472,4.40472,0.0
